iter	Passed	Remaining
445	1145	1422
446	1147	1419
447	1150	1417
448	1151	1413
449	1152	1409
450	1154	1404
451	1155	1400
452	1156	1396
453	1161	1396
454	1163	1393
455	1164	1389
456	1165	1385
457	1168	1383
458	1170	1379
459	1171	1375
460	1172	1371
461	1173	1367
462	1178	1366
463	1180	1363
464	1181	1359
465	1182	1355
466	1184	1351
467	1187	1350
468	1190	1347
469	1198	1352
470	1201	1348
471	1203	1345
472	1209	1347
473	1222	1356
474	1227	1356
475	1230	1354
476	1232	1351
477	1240	1355
478	1242	1351
479	1246	1350
480	1258	1357
481	1259	1353
482	1263	1352
483	1271	1355
484	1273	1352
485	1275	1348
486	1277	1345
487	1279	1342
488	1282	1340
489	1284	1336
490	1285	1332
491	1286	1328
492	1288	1324
493	1289	1320
494	1292	1318
495	1293	1314
496	1295	1310
497	1296	1307
498	1298	1303
499	1300	1300
500	1301	1296
501	1303	1292
502	1304	1288
503	1306	1285
504	1307	1282
505	1309	1278
506	1310	1274
507	1311	1270
508	1313	1266
509	1315	1263
510	1316	1260
511	1318	1256
512	1320	1253
513	1322	1250
514	1324	1247
515	1325	1243
516	1326	1239
517	1328	1235
518	1329	1232
519	1330	1228
520	1333	1226
521	1336	1224
522	1338	1220
523	1339	1216
524	1340	1213
525	1342	1209
526	1343	1205
527	1345	1202
528	1346	1198
529	1347	1195
530	1349	1191
531	1353	1190
532	1354	1187
533	1356	1183
534	1357	1179
535	1358	1176
536	1361	1174
537	1363	1170
538	1364	1167
539	1367	1164
540	1370	1162
541	1372	1159
542	1373	1155
543	1374	1152
544	1375	1148
545	1377	1145
546	1380	1143
547	1383	1141
548	1384	1137
549	1386	1134
550	1387	1130
551	1389	1127
552	1390	1124
553	1391	1120
554	1393	1117
555	1394	1113
556	1395	1110
557	1399	1108
558	1400	1105
559	1402	1101
560	1403	1098
561	1405	1095
562	1407	1092
563	1418	1096
564	1422	1095
565	1426	1093
566	1433	1094
567	1436	1092
568	1438	1089
569	1449	1093
570	1451	1090
571	1453	1087
572	1455	1084
573	1457	1081
574	1464	1082
575	1468	1080
576	1469	1077
577	1470	1073
578	1472	1070
579	1475	1068
580	1476	1065
581	1478	1061
582	1479	1058
583	1482	1055
584	1483	1052
585	1484	1048
586	1486	1045
587	1487	1042
588	1488	1038
589	1492	1037
590	1495	1034
591	1496	1031
592	1498	1028
593	1501	1026
594	1502	1022
595	1504	1019
596	1506	1017
597	1510	1015
598	1511	1012
599	1512	1008
600	1514	1005
601	1515	1002
602	1516	998
603	1520	996
604	1522	994
605	1524	991
606	1525	987
607	1528	985
608	1530	982
609	1531	979
610	1532	975
611	1534	972
612	1535	969
613	1537	966
614	1538	963
615	1539	959
616	1541	956
617	1542	953
618	1544	950
619	1545	947
620	1546	944
621	1548	940
622	1550	938
623	1554	936
624	1555	933
625	1556	930
626	1558	926
627	1559	923
628	1562	921
629	1565	919
630	1567	916
631	1568	913
632	1569	910
633	1573	908
634	1574	904
635	1575	901
636	1576	898
637	1578	895
638	1582	893
639	1583	890
640	1585	887
641	1586	884
642	1587	881
643	1592	880
644	1594	877
645	1596	874
646	1600	873
647	1601	870
648	1602	866
649	1604	863
650	1605	860
651	1606	857
652	1610	855
653	1612	853
654	1613	849
655	1615	846
656	1616	843
657	1617	840
658	1619	837
659	1620	834
660	1621	831
661	1623	828
662	1628	827
663	1629	824
664	1630	821
665	1632	818
666	1633	815
667	1634	812
668	1636	809
669	1637	806
670	1645	806
671	1654	807
672	1660	806
673	1663	804
674	1665	802
675	1681	805
676	1683	803
677	1686	801
678	1690	799
679	1698	799
680	1701	797
681	1709	797
682	1712	794
683	1724	796
684	1725	793
685	1726	790
686	1728	787
687	1729	784
688	1731	781
689	1732	778
690	1733	775
691	1737	773
692	1739	770
693	1740	767
694	1742	764
695	1743	761
696	1744	758
697	1746	755
698	1748	752
699	1750	750
700	1752	747
701	1753	744
702	1755	741
703	1758	739
704	1759	736
705	1760	733
706	1762	730
707	1763	727
708	1768	725
709	1769	722
710	1771	719
711	1772	716
712	1773	713
713	1776	711
714	1778	708
715	1779	705
716	1782	703
717	1786	701
718	1787	698
719	1789	695
720	1790	692
721	1791	689
722	1794	687
723	1796	684
724	1798	682
725	1799	679
726	1801	676
727	1803	673
728	1804	670
729	1805	667
730	1807	665
731	1808	662
732	1809	659
733	1812	657
734	1815	654
735	1816	651
736	1817	648
737	1819	645
738	1821	643
739	1823	640
740	1824	637
741	1825	634
742	1828	632
743	1832	630
744	1833	627
745	1834	624
746	1836	621
747	1837	619
748	1840	616
749	1842	614
750	1844	611
751	1845	608
752	1847	605
753	1850	603
754	1851	600
755	1852	598
756	1854	595
757	1855	592
758	1860	590
759	1862	588
760	1863	585
761	1864	582
762	1865	579
763	1869	577
764	1870	574
765	1881	574
766	1886	573
767	1891	571
768	1893	568
769	1900	567
770	1914	568
771	1916	566
772	1926	565
773	1930	563
774	1933	561
775	1936	558
776	1937	556
777	1939	553
778	1941	550
779	1943	548
780	1944	545
781	1945	542
782	1947	539
783	1948	536
784	1952	534
785	1954	532
786	1955	529
787	1956	526
788	1958	523
789	1960	521
790	1961	518
791	1963	515
792	1964	512
793	1967	510
794	1969	507
795	1971	505
796	1972	502
797	1973	499
798	1975	496
799	1976	494
800	1978	491
801	1980	489
802	1982	486
803	1984	483
804	1985	480
805	1987	478
806	1988	475
807	1990	472
808	1991	470
809	1992	467
810	1994	464
811	1997	462
812	1999	459
813	2000	457
814	2002	454
815	2003	451
816	2007	449
817	2008	446
818	2009	444
819	2012	441
820	2015	439
821	2016	436
822	2018	434
823	2019	431
824	2020	428
825	2021	425
826	2024	423
827	2026	420
828	2028	418
829	2029	415
830	2031	413
831	2033	410
832	2035	407
833	2036	405
834	2037	402
835	2039	400
836	2040	397
837	2042	394
838	2045	392
839	2046	389
840	2048	387
841	2049	384
842	2051	382
843	2052	379
844	2054	376
845	2055	374
846	2057	371
847	2060	369
848	2062	366
849	2063	364
850	2065	361
851	2066	359
852	2070	356
853	2071	354
854	2074	351
855	2075	349
856	2076	346
857	2078	344
858	2080	341
859	2081	338
860	2082	336
861	2083	333
862	2085	331
863	2089	328
864	2091	326
865	2093	323
866	2094	321
867	2097	318
868	2098	316
869	2100	313
870	2101	311
871	2113	310
872	2115	307
873	2117	305
874	2121	303
875	2128	301
876	2132	299
877	2136	296
878	2149	295
879	2157	294
880	2168	292
881	2170	290
882	2172	287
883	2177	285
884	2181	283
885	2183	280
886	2184	278
887	2185	275
888	2186	273
889	2190	270
890	2191	268
891	2192	265
892	2194	262
893	2198	260
894	2200	258
895	2201	255
896	2202	252
897	2203	250
898	2205	247
899	2208	245
900	2211	242
901	2212	240
902	2214	237
903	2217	235
904	2218	232
905	2219	230
906	2221	227
907	2222	225
908	2223	222
909	2228	220
910	2229	217
911	2231	215
912	2232	212
913	2233	210
914	2237	207
915	2238	205
916	2239	202
917	2245	200
918	2246	198
919	2248	195
920	2249	192
921	2250	190
922	2251	187
923	2254	185
924	2256	182
925	2258	180
926	2259	177
927	2261	175
928	2263	172
929	2264	170
930	2265	167
931	2267	165
932	2269	162
933	2270	160
934	2271	157
935	2274	155
936	2275	153
937	2277	150
938	2278	148
939	2279	145
940	2281	143
941	2282	140
942	2284	138
943	2285	135
944	2288	133
945	2290	130
946	2292	128
947	2293	125
948	2294	123
949	2296	120
950	2297	118
951	2299	115
952	2301	113
953	2304	111
954	2305	108
955	2309	106
956	2310	103
957	2311	101
958	2313	98
959	2314	96
960	2316	93
961	2318	91
962	2320	89
963	2321	86
964	2323	84
965	2324	81
966	2327	79
967	2328	76
968	2329	74
969	2331	72
970	2337	69
971	2344	67
972	2346	65
973	2355	62
974	2377	60
975	2381	58
976	2383	56
977	2386	53
978	2390	51
979	2399	48
980	2403	46
981	2405	44
982	2406	41
983	2408	39
984	2409	36
985	2412	34
986	2415	31
987	2416	29
988	2417	26
989	2419	24
990	2422	21
991	2423	19
992	2424	17
993	2426	14
994	2430	12
995	2432	9
996	2433	7
997	2434	4
998	2436	2
999	2437	0
